Year,Month,Dekad,Rainfall(mm),Average(mm)
2005,1,1,2.6383,9.049
2005,1,2,2.3078,10.2445
2005,1,3,23.7976,9.7117
2005,2,1,3.4019,8.6781
2005,2,2,4.1204,11.6488
2005,2,3,12.5951,8.7773
2005,3,1,12.3978,20.7857
2005,3,2,20.1949,22.0756
2005,3,3,31.7368,30.5914
2005,4,1,31.2677,38.0823
2005,4,2,14.4108,34.4192
2005,4,3,43.2106,39.6816
2005,5,1,40.1597,30.9658
2005,5,2,13.2486,24.8583
2005,5,3,63.1183,20.1955
2005,6,1,9.8185,16.7653
2005,6,2,13.6194,14.9757
2005,6,3,13.7805,13.2858
2005,7,1,10.3617,14.7383
2005,7,2,11.8924,15.8419
2005,7,3,23.5889,20.3294
2005,8,1,13.0744,15.5339
2005,8,2,16.9599,16.7419
2005,8,3,15.7778,19.9081
2005,9,1,10.4151,11.5402
2005,9,2,20.457,9.6345
2005,9,3,7.0291,9.6769
2005,10,1,6.8763,13.2087
2005,10,2,15.6417,15.5893
2005,10,3,13.038,19.6413
2005,11,1,13.2905,24.6364
2005,11,2,9.3754,21.5681
2005,11,3,11.2025,22.5113
2005,12,1,9.1014,16.811
2005,12,2,4.7527,16.9599
2005,12,3,4.4333,18.3763
2006,1,1,3.2097,9.049
2006,1,2,8.3189,10.2445
2006,1,3,4.1806,9.7117
2006,2,1,2.364,8.6781
2006,2,2,6.0453,11.6488
2006,2,3,17.263,8.7773
2006,3,1,47.1813,20.7857
2006,3,2,11.3398,22.0756
2006,3,3,25.7281,30.5914
2006,4,1,70.5464,38.0823
2006,4,2,26.5623,34.4192
2006,4,3,33.6802,39.6816
2006,5,1,27.139,30.9658
2006,5,2,22.7835,24.8583
2006,5,3,16.0575,20.1955
2006,6,1,7.7398,16.7653
2006,6,2,9.9349,14.9757
2006,6,3,15.4115,13.2858
2006,7,1,11.3492,14.7383
2006,7,2,10.6224,15.8419
2006,7,3,14.7254,20.3294
2006,8,1,40.9429,15.5339
2006,8,2,11.7641,16.7419
2006,8,3,12.6442,19.9081
2006,9,1,8.253,11.5402
2006,9,2,11.2211,9.6345
2006,9,3,8.4863,9.6769
2006,10,1,8.3173,13.2087
2006,10,2,7.3667,15.5893
2006,10,3,36.8858,19.6413
2006,11,1,23.1922,24.6364
2006,11,2,36.5198,21.5681
2006,11,3,80.3257,22.5113
2006,12,1,19.1121,16.811
2006,12,2,16.5712,16.9599
2006,12,3,77.8201,18.3763
2007,1,1,6.6706,9.049
2007,1,2,13.6094,10.2445
2007,1,3,14.0423,9.7117
2007,2,1,28.8346,8.6781
2007,2,2,12.124,11.6488
2007,2,3,16.9154,8.7773
2007,3,1,9.9063,20.7857
2007,3,2,32.8207,22.0756
