date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,Unitprice,usdprice
2006-01-15,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize,1,actual,Wholesale,KES,16.13,16.13,0.2235
2006-01-15,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize,90.00,actual,Wholesale,KES,1480,16.44,20.5041
2006-01-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans,1,actual,Wholesale,KES,33.63,33.63,0.4659
2006-01-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans,90.00,actual,Wholesale,KES,3246,36.07,44.9705
2006-01-15,Eastern,Kitui,Kitui,-1.366667,38.016667,cereals and tubers,Maize,1,actual,Retail,KES,17,17,0.2355
2006-01-15,Eastern,Kitui,Kitui,-1.366667,38.016667,pulses and nuts,Beans,1,actual,Retail,KES,39,39,0.5403
2006-01-15,Eastern,Marsabit,Marsabit,2.333333,37.983333,cereals and tubers,Maize,1,actual,Retail,KES,21,21,0.2909
2006-01-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize,1,actual,Wholesale,KES,15.48,15.48,0.2145
2006-01-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize,90.00,actual,Wholesale,KES,1399,15.54,19.3819
2006-01-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,pulses and nuts,Beans,1,actual,Wholesale,KES,42.31,42.31,0.5862
2006-01-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,pulses and nuts,Beans,90.00,actual,Wholesale,KES,3175,35.28,43.9869
2006-01-15,North Eastern,Mandera,Mandera,3.936804,41.858383,cereals and tubers,Maize,1,actual,Retail,KES,30,30,0.4156
2006-01-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize,1,actual,Wholesale,KES,14.84,14.84,0.2055
2006-01-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize,90.00,actual,Wholesale,KES,1320,14.67,18.2874
2006-01-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans,1,actual,Wholesale,KES,39.61,39.61,0.5487
2006-01-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans,90.00,actual,Wholesale,KES,4000,44.44,55.4165
2006-01-15,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,cereals and tubers,Maize,1,actual,Retail,KES,26,26,0.3602
2006-01-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Maize,1,actual,Wholesale,KES,12.96,12.96,0.1796
2006-01-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Maize,90.00,actual,Wholesale,KES,1192,13.24,16.5141
2006-01-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,pulses and nuts,Beans,1,actual,Wholesale,KES,45.85,45.85,0.6353
2006-01-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,pulses and nuts,Beans,90.00,actual,Wholesale,KES,2799,31.10,38.7777
2006-02-15,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize,1,actual,Wholesale,KES,16.41,16.41,0.2299
2006-02-15,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize,90.00,actual,Wholesale,KES,1523,16.92,21.3455
2006-02-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans,1,actual,Wholesale,KES,39.48,39.48,0.5533
2006-02-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans,90.00,actual,Wholesale,KES,3400,37.78,47.6524
2006-02-15,Eastern,Kitui,Kitui,-1.366667,38.016667,cereals and tubers,Maize,1,actual,Retail,KES,18,18,0.2523
2006-02-15,Eastern,Kitui,Kitui,-1.366667,38.016667,pulses and nuts,Beans,1,actual,Retail,KES,42,42,0.5886
2006-02-15,Eastern,Marsabit,Marsabit,2.333333,37.983333,cereals and tubers,Maize,1,actual,Retail,KES,22,22,0.3083
2006-02-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize,1,actual,Wholesale,KES,16.41,16.41,0.2299
2006-02-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize,90.00,actual,Wholesale,KES,1488,16.53,20.8549
2006-02-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,pulses and nuts,Beans,1,actual,Wholesale,KES,47.1,47.1,0.6601
2006-02-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,pulses and nuts,Beans,90.00,actual,Wholesale,KES,3485,38.72,48.8437
2006-02-15,North Eastern,Mandera,Mandera,3.936804,41.858383,cereals and tubers,Maize,1,actual,Retail,KES,29,29,0.4064
2006-02-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize,1,actual,Wholesale,KES,17.83,17.83,0.2499
2006-02-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize,90.00,actual,Wholesale,KES,1456,16.18,20.4064
2006-02-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans,1,actual,Wholesale,KES,42.79,42.79,0.5998
2006-02-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans,90.00,actual,Wholesale,KES,4000,44.44,56.0617
2006-02-15,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,cereals and tubers,Maize,1,actual,Retail,KES,28,28,0.3924
2006-02-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Maize,1,actual,Wholesale,KES,13.12,13.12,0.1839
2006-02-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Maize,90.00,actual,Wholesale,KES,1304,14.49,18.2761
2006-02-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,pulses and nuts,Beans,1,actual,Wholesale,KES,44.02,44.02,0.617
2006-02-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,pulses and nuts,Beans,90.00,actual,Wholesale,KES,3150,35.00,44.1486
2006-03-15,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize,1,actual,Wholesale,KES,16.98,16.98,0.236
2006-03-15,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize,90.00,actual,Wholesale,KES,1476,16.40,20.5114
2006-03-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans,1,actual,Wholesale,KES,44.69,44.69,0.621
2006-03-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans,90.00,actual,Wholesale,KES,3958.75,43.99,55.0132
2006-03-15,Eastern,Kitui,Kitui,-1.366667,38.016667,cereals and tubers,Maize,1,actual,Retail,KES,18,18,0.2501
2006-03-15,Eastern,Kitui,Kitui,-1.366667,38.016667,pulses and nuts,Beans,1,actual,Retail,KES,47,47,0.6531
2006-03-15,Eastern,Marsabit,Marsabit,2.333333,37.983333,cereals and tubers,Maize,1,actual,Retail,KES,22,22,0.3057
2006-03-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize,1,actual,Wholesale,KES,16.91,16.91,0.235
2006-03-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize,90.00,actual,Wholesale,KES,1500,16.67,20.8449
2006-03-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,pulses and nuts,Beans,1,actual,Wholesale,KES,42.31,42.31,0.588
2006-03-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,pulses and nuts,Beans,90.00,actual,Wholesale,KES,3760,41.78,52.2513
2006-03-15,North Eastern,Mandera,Mandera,3.936804,41.858383,cereals and tubers,Maize,1,actual,Retail,KES,27,27,0.3752
2006-03-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize,1,actual,Wholesale,KES,14.75,14.75,0.205
2006-03-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize,90.00,actual,Wholesale,KES,1554.55,17.27,21.6029
2006-03-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans,1,actual,Wholesale,KES,54.52,54.52,0.7577
2006-03-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans,90.00,actual,Wholesale,KES,4515,50.17,62.7432
2006-03-15,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,cereals and tubers,Maize,1,actual,Retail,KES,27,27,0.3752
2006-03-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Maize,1,actual,Wholesale,KES,13.31,13.31,0.185
